Experimental instructions
EXPORT_RULE_MODE strict
Global RNase_U_per_mL 9.572
Hydrogel diameter_um 30.0
Field_of_view_um 1200.0 1200.0
Num_gels_total 100
Num_gels_exported 82

Rule quantization palette levels (lvl -> uM):
  lvl0 = 0.010 uM
  lvl1 = 1.340 uM
  lvl2 = 2.670 uM
  lvl3 = 4.000 uM

Optimized learned palette (per channel, lvl0..lvl3 in uM):
  R: 0.010 0.205 3.969 4.000
  G: 0.010 0.205 3.969 4.000
  B: 0.010 0.205 3.969 4.000
  C: 0.010 0.205 3.969 4.000
  M: 0.010 0.205 3.969 4.000
  Y: 0.010 0.205 3.969 4.000


Post-processing applied:
  (1) Removed fully-OFF gels where all channels == 0.010 uM (tol=1e-06).
  (2) Proximity prune enforced: no two gels within 30.0 µm.
  (3) Verification: min remaining distance = 30.709 µm; constraint_ok = 1.

GelIndex x_um y_um diameter_um R_uM G_uM B_uM C_uM M_uM Y_uM target_R8 target_G8 target_B8 FG_at_gel p_all_off phys_intensity_uM
62 879.73 300.37 30.0 2.670 0.010 0.010 0.010 1.340 1.340 245 67 49 1 0.000 2.660
63 573.14 1095.00 30.0 0.010 0.010 1.340 0.010 1.340 1.340 247 120 170 1 0.000 1.330
64 315.94 1088.37 30.0 0.010 0.010 1.340 0.010 0.010 2.670 208 198 104 1 0.402 2.660
66 121.24 722.65 30.0 2.670 0.010 0.010 0.010 0.010 1.340 248 101 17 1 0.000 2.660
68 854.20 602.54 30.0 0.010 0.010 4.000 0.010 0.010 4.000 249 226 253 1 0.000 3.990
69 246.68 928.46 30.0 0.010 0.010 1.340 2.670 0.010 0.010 41 183 199 1 0.640 2.660
70 447.66 636.87 30.0 0.010 0.010 0.010 0.010 1.340 1.340 148 74 61 1 1.000 1.330
71 689.58 470.39 30.0 1.340 0.010 0.010 0.010 0.010 2.670 249 140 27 1 0.999 2.660
72 899.67 245.75 30.0 0.010 0.010 0.010 0.010 2.670 1.340 242 87 152 1 0.000 2.660
73 583.69 637.58 30.0 0.010 0.010 0.010 0.010 1.340 2.670 250 197 58 1 0.467 2.660
74 653.25 482.35 30.0 1.340 0.010 0.010 0.010 0.010 2.670 243 131 26 1 0.414 2.660
75 868.04 443.59 30.0 0.010 0.010 1.340 0.010 2.670 1.340 244 104 207 1 0.000 2.660
76 832.89 414.85 30.0 2.670 0.010 0.010 0.010 0.010 1.340 252 87 25 1 0.495 2.660
77 474.83 599.79 30.0 0.010 0.010 0.010 0.010 1.340 1.340 134 75 69 1 0.993 1.330
80 436.16 765.94 30.0 0.010 0.010 0.010 0.010 0.010 2.670 248 196 40 1 0.397 2.660
81 360.80 541.58 30.0 1.340 0.010 0.010 0.010 1.340 2.670 248 157 44 1 0.577 2.660
83 142.55 1067.62 30.0 0.010 0.010 1.340 1.340 0.010 0.010 34 99 121 1 1.000 1.330
84 708.45 984.13 30.0 0.010 0.010 1.340 0.010 1.340 1.340 144 71 164 1 0.995 1.330
86 392.75 300.76 30.0 0.010 0.010 1.340 0.010 0.010 2.670 174 141 126 1 0.805 2.660
87 130.30 783.69 30.0 1.340 0.010 0.010 0.010 0.010 2.670 241 155 32 1 0.000 2.660
89 232.80 695.68 30.0 0.010 0.010 1.340 1.340 0.010 0.010 13 58 108 1 0.793 1.330
90 676.09 883.40 30.0 0.010 0.010 0.010 0.010 1.340 2.670 246 128 140 1 0.000 2.660
91 146.35 472.17 30.0 0.010 0.010 1.340 0.010 0.010 0.010 21 27 68 1 0.996 1.330
92 628.03 506.84 30.0 0.010 0.010 2.670 0.010 0.010 4.000 247 240 202 1 0.404 3.990
93 758.78 1067.11 30.0 0.010 0.010 1.340 0.010 0.010 0.010 45 36 56 1 0.976 1.330
94 370.64 750.70 30.0 0.010 0.010 1.340 1.340 0.010 1.340 44 138 159 1 0.995 1.330
95 94.90 634.15 30.0 1.340 0.010 0.010 0.010 0.010 2.670 250 140 18 1 0.000 2.660
96 741.29 707.77 30.0 2.670 0.010 0.010 0.010 0.010 0.010 253 37 12 1 0.439 2.660
97 377.00 932.91 30.0 0.010 0.010 1.340 1.340 0.010 1.340 70 196 214 1 0.701 1.330
99 951.65 278.85 30.0 0.010 0.010 1.340 0.010 1.340 1.340 97 45 160 1 0.000 1.330


Column meanings:
  FG_at_gel: 1 if gel center is in the foreground mask, else 0.
  p_all_off: product of per-channel OFF probabilities from assignment (near 1 means optimizer wanted gel off).
  phys_intensity_uM: max over channels of (channel_uM - TEMPLATE_MIN_uM).
