GelIndex,x_um,y_um,diameter_um,R_uM,G_uM,B_uM,C_uM,M_uM,Y_uM,target_R8,target_G8,target_B8,FG_at_gel,p_all_off,phys_intensity_uM
45,629.49,346.57,30.0,0.01,0.01,1.34,0.01,0.01,4.0,251,228,83,1,0.387,3.99
47,638.53,541.63,30.0,0.01,0.01,1.34,0.01,0.01,4.0,250,228,83,1,0.368,3.99
48,248.26,884.81,30.0,0.01,0.01,1.34,1.34,0.01,0.01,30,127,156,1,1.0,1.33
50,170.42,1046.58,30.0,0.01,0.01,1.34,1.34,0.01,0.01,37,129,151,1,0.942,1.33
52,567.74,1048.55,30.0,1.34,0.01,0.01,0.01,1.34,1.34,250,124,72,1,0.002,1.33
53,270.31,430.06,30.0,2.67,0.01,0.01,0.01,0.01,1.34,252,67,10,1,0.0,2.66
54,501.44,934.88,30.0,1.34,0.01,0.01,0.01,0.01,1.34,170,43,14,1,1.0,1.33
55,616.9,599.17,30.0,0.01,0.01,0.01,0.01,0.01,4.0,251,213,53,1,0.64,3.99
56,433.63,388.57,30.0,0.01,0.01,1.34,1.34,0.01,1.34,55,132,141,1,0.995,1.33
58,817.65,578.15,30.0,0.01,0.01,1.34,0.01,1.34,2.67,248,171,134,1,0.0,2.66
59,663.68,364.29,30.0,0.01,0.01,1.34,0.01,0.01,4.0,252,226,81,1,0.276,3.99
60,164.53,919.77,30.0,0.01,0.01,1.34,1.34,0.01,0.01,35,107,128,1,1.0,1.33
61,391.5,540.82,30.0,0.01,0.01,0.01,0.01,1.34,2.67,250,189,67,1,0.489,2.66
62,879.73,300.37,30.0,2.67,0.01,0.01,0.01,1.34,1.34,245,67,49,1,0.0,2.66
63,573.14,1095.0,30.0,0.01,0.01,1.34,0.01,1.34,1.34,247,120,170,1,0.0,1.33
64,315.94,1088.37,30.0,0.01,0.01,1.34,0.01,0.01,2.67,208,198,104,1,0.402,2.66
66,121.24,722.65,30.0,2.67,0.01,0.01,0.01,0.01,1.34,248,101,17,1,0.0,2.66
68,854.2,602.54,30.0,0.01,0.01,4.0,0.01,0.01,4.0,249,226,253,1,0.0,3.99
69,246.68,928.46,30.0,0.01,0.01,1.34,2.67,0.01,0.01,41,183,199,1,0.64,2.66
70,447.66,636.87,30.0,0.01,0.01,0.01,0.01,1.34,1.34,148,74,61,1,1.0,1.33
71,689.58,470.39,30.0,1.34,0.01,0.01,0.01,0.01,2.67,249,140,27,1,0.999,2.66
72,899.67,245.75,30.0,0.01,0.01,0.01,0.01,2.67,1.34,242,87,152,1,0.0,2.66
73,583.69,637.58,30.0,0.01,0.01,0.01,0.01,1.34,2.67,250,197,58,1,0.467,2.66
74,653.25,482.35,30.0,1.34,0.01,0.01,0.01,0.01,2.67,243,131,26,1,0.414,2.66
75,868.04,443.59,30.0,0.01,0.01,1.34,0.01,2.67,1.34,244,104,207,1,0.0,2.66
76,832.89,414.85,30.0,2.67,0.01,0.01,0.01,0.01,1.34,252,87,25,1,0.495,2.66
77,474.83,599.79,30.0,0.01,0.01,0.01,0.01,1.34,1.34,134,75,69,1,0.993,1.33
80,436.16,765.94,30.0,0.01,0.01,0.01,0.01,0.01,2.67,248,196,40,1,0.397,2.66
81,360.8,541.58,30.0,1.34,0.01,0.01,0.01,1.34,2.67,248,157,44,1,0.577,2.66
83,142.55,1067.62,30.0,0.01,0.01,1.34,1.34,0.01,0.01,34,99,121,1,1.0,1.33
84,708.45,984.13,30.0,0.01,0.01,1.34,0.01,1.34,1.34,144,71,164,1,0.995,1.33
86,392.75,300.76,30.0,0.01,0.01,1.34,0.01,0.01,2.67,174,141,126,1,0.805,2.66
87,130.3,783.69,30.0,1.34,0.01,0.01,0.01,0.01,2.67,241,155,32,1,0.0,2.66
89,232.8,695.68,30.0,0.01,0.01,1.34,1.34,0.01,0.01,13,58,108,1,0.793,1.33
90,676.09,883.4,30.0,0.01,0.01,0.01,0.01,1.34,2.67,246,128,140,1,0.0,2.66
91,146.35,472.17,30.0,0.01,0.01,1.34,0.01,0.01,0.01,21,27,68,1,0.996,1.33
92,628.03,506.84,30.0,0.01,0.01,2.67,0.01,0.01,4.0,247,240,202,1,0.404,3.99
93,758.78,1067.11,30.0,0.01,0.01,1.34,0.01,0.01,0.01,45,36,56,1,0.976,1.33
94,370.64,750.7,30.0,0.01,0.01,1.34,1.34,0.01,1.34,44,138,159,1,0.995,1.33
95,94.9,634.15,30.0,1.34,0.01,0.01,0.01,0.01,2.67,250,140,18,1,0.0,2.66
96,741.29,707.77,30.0,2.67,0.01,0.01,0.01,0.01,0.01,253,37,12,1,0.439,2.66
97,377.0,932.91,30.0,0.01,0.01,1.34,1.34,0.01,1.34,70,196,214,1,0.701,1.33
99,951.65,278.85,30.0,0.01,0.01,1.34,0.01,1.34,1.34,97,45,160,1,0.0,1.33
