GelIndex,x_um,y_um,diameter_um,R_uM,G_uM,B_uM,C_uM,M_uM,Y_uM,target_R8,target_G8,target_B8,FG_at_gel,p_all_off,phys_intensity_uM
75,868.04,443.59,30.0,4.0,0.01,4.0,4.0,4.0,4.0,244,104,207,1,0.0,3.99
76,832.89,414.85,30.0,4.0,0.01,0.01,0.01,0.01,0.01,252,87,25,1,0.495,3.99
77,474.83,599.79,30.0,4.0,0.01,0.01,0.01,0.01,0.01,134,75,69,1,0.993,3.99
80,436.16,765.94,30.0,0.01,0.01,0.01,0.01,0.01,4.0,248,196,40,1,0.397,3.99
81,360.8,541.58,30.0,4.0,0.01,0.01,0.01,0.01,4.0,248,157,44,1,0.577,3.99
83,142.55,1067.62,30.0,0.01,0.01,0.01,4.0,0.01,0.01,34,99,121,1,1.0,3.99
84,708.45,984.13,30.0,0.01,0.01,0.01,0.01,4.0,0.01,144,71,164,1,0.995,3.99
86,392.75,300.76,30.0,0.01,0.01,0.01,4.0,4.0,4.0,174,141,126,1,0.805,3.99
87,130.3,783.69,30.0,4.0,0.01,0.01,0.01,0.01,4.0,241,155,32,1,0.0,3.99
89,232.8,695.68,30.0,0.01,0.01,4.0,0.01,0.01,0.01,13,58,108,1,0.793,3.99
90,676.09,883.4,30.0,4.0,0.01,0.01,4.0,4.0,4.0,246,128,140,1,0.0,3.99
92,628.03,506.84,30.0,0.01,0.01,0.01,4.0,4.0,4.0,247,240,202,1,0.404,3.99
94,370.64,750.7,30.0,0.01,0.01,0.01,4.0,0.01,0.01,44,138,159,1,0.995,3.99
95,94.9,634.15,30.0,4.0,0.01,0.01,0.01,0.01,4.0,250,140,18,1,0.0,3.99
96,741.29,707.77,30.0,4.0,0.01,0.01,0.01,0.01,0.01,253,37,12,1,0.439,3.99
97,377.0,932.91,30.0,0.01,0.01,0.01,4.0,0.01,0.01,70,196,214,1,0.701,3.99
99,951.65,278.85,30.0,0.01,0.01,4.0,0.01,4.0,0.01,97,45,160,1,0.0,3.99
